category, srcnode, srchostname, srcip, dstnode, dsthostname, dstip, clientcomponent, servercomponent, port
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, UICLNT, UI, 9000
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, UICLNT, UI, 9443
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, UICLNT, BS, 9000
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, UICLNT, BS, 9443
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, MSCLNT, UI, 8080
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, MSCLNT, UI, 8443
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, MSCLNT, BS, 8080
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, MSCLNT, BS, 8443
incoming, -1, client, 0.0.0.0/0, 7, LVMOPAPIRMP1U, 10.119.133.13, VHOST, R, 9000-9200
incoming, -1, client, 0.0.0.0/0, 8, LVMOPAPIRMP2U, 10.119.133.14, VHOST, R, 9000-9200
incoming, -1, client, 0.0.0.0/0, 11, LVMOPAPIR1U, 10.119.134.12, VHOST, R, 9000-9200
incoming, -1, client, 0.0.0.0/0, 12, LVMOPAPIR2U, 10.119.134.13, VHOST, R, 9000-9200
incoming, -1, client, 0.0.0.0/0, 7, LVMOPAPIRMP1U, 10.119.133.13, HBCLNT, R, 15999
incoming, -1, client, 0.0.0.0/0, 8, LVMOPAPIRMP2U, 10.119.133.14, HBCLNT, R, 15999
incoming, -1, client, 0.0.0.0/0, 11, LVMOPAPIR1U, 10.119.134.12, HBCLNT, R, 15999
incoming, -1, client, 0.0.0.0/0, 12, LVMOPAPIR2U, 10.119.134.13, HBCLNT, R, 15999
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, JMX, MS, 1099
incoming, -1, client, 0.0.0.0/0, 7, LVMOPAPIRMP1U, 10.119.133.13, JMX, MP, 1101
incoming, -1, client, 0.0.0.0/0, 8, LVMOPAPIRMP2U, 10.119.133.14, JMX, MP, 1101
incoming, -1, client, 0.0.0.0/0, 5, LVMOPAPIMP1U, 10.119.133.11, JMX, MP, 1101
incoming, -1, client, 0.0.0.0/0, 6, LVMOPAPIMP2U, 10.119.133.12, JMX, MP, 1101
incoming, -1, client, 0.0.0.0/0, 1, LVMOPAPIQD2U, 10.119.131.11, JMX, QIS, 1102
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, JMX, QIS, 1102
incoming, -1, client, 0.0.0.0/0, 1, LVMOPAPIQD2U, 10.119.131.11, JMX, PS, 1103
incoming, -1, client, 0.0.0.0/0, 2, LVMOPAPICS1U, 10.119.132.11, JMX, CS, 7199
incoming, -1, client, 0.0.0.0/0, 3, LVMOPAPICS2U, 10.119.132.12, JMX, CS, 7199
incoming, -1, client, 0.0.0.0/0, 4, LVMOPAPICS3U, 10.119.132.13, JMX, CS, 7199
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, IFCLNT, IF, 8183
incoming, -1, client, 0.0.0.0/0, 9, LVMOPAPIQD1U, 10.119.133.15, GFCLNT, GF, 3000
internal, 11, LVMOPAPIR1U, 10.119.134.12, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 4528
internal, 11, LVMOPAPIR1U, 10.119.134.12, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 8998
internal, 11, LVMOPAPIR1U, 10.119.134.12, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 8082
internal, 11, LVMOPAPIR1U, 10.119.134.12, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 4527
internal, 11, LVMOPAPIR1U, 10.119.134.12, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 4528
internal, 11, LVMOPAPIR1U, 10.119.134.12, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 8998
internal, 11, LVMOPAPIR1U, 10.119.134.12, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 8082
internal, 11, LVMOPAPIR1U, 10.119.134.12, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 4527
internal, 11, LVMOPAPIR1U, 10.119.134.12, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 4528
