category, srcnode, srchostname, srcip, dstnode, dsthostname, dstip, clientcomponent, servercomponent, port, description
internal, 1, dc1dmzrmp01, 10.0.1.1, 8, dc1apzrmp08, 10.0.1.8, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 1, dc1dmzrmp01, 10.0.1.1, 8, dc1apzrmp08, 10.0.1.8, R, MP, 8998, Communication between Router and Message Processor
internal, 1, dc1dmzrmp01, 10.0.1.1, 8, dc1apzrmp08, 10.0.1.8, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 1, dc1dmzrmp01, 10.0.1.1, 8, dc1apzrmp08, 10.0.1.8, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 1, dc1dmzrmp01, 10.0.1.1, 9, dc1apzrmp09, 10.0.1.9, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 1, dc1dmzrmp01, 10.0.1.1, 9, dc1apzrmp09, 10.0.1.9, R, MP, 8998, Communication between Router and Message Processor
internal, 1, dc1dmzrmp01, 10.0.1.1, 9, dc1apzrmp09, 10.0.1.9, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 1, dc1dmzrmp01, 10.0.1.1, 9, dc1apzrmp09, 10.0.1.9, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 2, dc1dmzrmp02, 10.0.1.2, 8, dc1apzrmp08, 10.0.1.8, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 2, dc1dmzrmp02, 10.0.1.2, 8, dc1apzrmp08, 10.0.1.8, R, MP, 8998, Communication between Router and Message Processor
internal, 2, dc1dmzrmp02, 10.0.1.2, 8, dc1apzrmp08, 10.0.1.8, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 2, dc1dmzrmp02, 10.0.1.2, 8, dc1apzrmp08, 10.0.1.8, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 2, dc1dmzrmp02, 10.0.1.2, 9, dc1apzrmp09, 10.0.1.9, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 2, dc1dmzrmp02, 10.0.1.2, 9, dc1apzrmp09, 10.0.1.9, R, MP, 8998, Communication between Router and Message Processor
internal, 2, dc1dmzrmp02, 10.0.1.2, 9, dc1apzrmp09, 10.0.1.9, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 2, dc1dmzrmp02, 10.0.1.2, 9, dc1apzrmp09, 10.0.1.9, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 3, dc1dmzrmp03, 10.0.1.3, 8, dc1apzrmp08, 10.0.1.8, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 3, dc1dmzrmp03, 10.0.1.3, 8, dc1apzrmp08, 10.0.1.8, R, MP, 8998, Communication between Router and Message Processor
internal, 3, dc1dmzrmp03, 10.0.1.3, 8, dc1apzrmp08, 10.0.1.8, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 3, dc1dmzrmp03, 10.0.1.3, 8, dc1apzrmp08, 10.0.1.8, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 3, dc1dmzrmp03, 10.0.1.3, 9, dc1apzrmp09, 10.0.1.9, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 3, dc1dmzrmp03, 10.0.1.3, 9, dc1apzrmp09, 10.0.1.9, R, MP, 8998, Communication between Router and Message Processor
internal, 3, dc1dmzrmp03, 10.0.1.3, 9, dc1apzrmp09, 10.0.1.9, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 3, dc1dmzrmp03, 10.0.1.3, 9, dc1apzrmp09, 10.0.1.9, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 8, dc1apzrmp08, 10.0.1.8, 1, dc1dmzrmp01, 10.0.1.1, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 8, dc1apzrmp08, 10.0.1.8, 1, dc1dmzrmp01, 10.0.1.1, R, MP, 8998, Communication between Router and Message Processor
internal, 8, dc1apzrmp08, 10.0.1.8, 1, dc1dmzrmp01, 10.0.1.1, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 8, dc1apzrmp08, 10.0.1.8, 1, dc1dmzrmp01, 10.0.1.1, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 8, dc1apzrmp08, 10.0.1.8, 2, dc1dmzrmp02, 10.0.1.2, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 8, dc1apzrmp08, 10.0.1.8, 2, dc1dmzrmp02, 10.0.1.2, R, MP, 8998, Communication between Router and Message Processor
internal, 8, dc1apzrmp08, 10.0.1.8, 2, dc1dmzrmp02, 10.0.1.2, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 8, dc1apzrmp08, 10.0.1.8, 2, dc1dmzrmp02, 10.0.1.2, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 8, dc1apzrmp08, 10.0.1.8, 3, dc1dmzrmp03, 10.0.1.3, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 8, dc1apzrmp08, 10.0.1.8, 3, dc1dmzrmp03, 10.0.1.3, R, MP, 8998, Communication between Router and Message Processor
internal, 8, dc1apzrmp08, 10.0.1.8, 3, dc1dmzrmp03, 10.0.1.3, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 8, dc1apzrmp08, 10.0.1.8, 3, dc1dmzrmp03, 10.0.1.3, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 9, dc1apzrmp09, 10.0.1.9, 1, dc1dmzrmp01, 10.0.1.1, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 9, dc1apzrmp09, 10.0.1.9, 1, dc1dmzrmp01, 10.0.1.1, R, MP, 8998, Communication between Router and Message Processor
internal, 9, dc1apzrmp09, 10.0.1.9, 1, dc1dmzrmp01, 10.0.1.1, R, MP, 8082, Issuing API requests directly to Message Processor
