category, srcnode, srchostname, srcip, dstnode, dsthostname, dstip, clientcomponent, servercomponent, port, description
internal, 11, LVMOPAPIR1U, 10.119.134.12, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 11, LVMOPAPIR1U, 10.119.134.12, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 8998, Communication between Router and Message Processor
internal, 11, LVMOPAPIR1U, 10.119.134.12, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 11, LVMOPAPIR1U, 10.119.134.12, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 11, LVMOPAPIR1U, 10.119.134.12, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 11, LVMOPAPIR1U, 10.119.134.12, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 8998, Communication between Router and Message Processor
internal, 11, LVMOPAPIR1U, 10.119.134.12, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 11, LVMOPAPIR1U, 10.119.134.12, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 11, LVMOPAPIR1U, 10.119.134.12, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 11, LVMOPAPIR1U, 10.119.134.12, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 8998, Communication between Router and Message Processor
internal, 11, LVMOPAPIR1U, 10.119.134.12, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 11, LVMOPAPIR1U, 10.119.134.12, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 11, LVMOPAPIR1U, 10.119.134.12, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 11, LVMOPAPIR1U, 10.119.134.12, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 8998, Communication between Router and Message Processor
internal, 11, LVMOPAPIR1U, 10.119.134.12, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 11, LVMOPAPIR1U, 10.119.134.12, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 12, LVMOPAPIR2U, 10.119.134.13, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 12, LVMOPAPIR2U, 10.119.134.13, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 8998, Communication between Router and Message Processor
internal, 12, LVMOPAPIR2U, 10.119.134.13, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 12, LVMOPAPIR2U, 10.119.134.13, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 12, LVMOPAPIR2U, 10.119.134.13, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
