category, srcnode, srchostname, srcip, dstnode, dsthostname, dstip, clientcomponent, servercomponent, port, description
internal, 7, nnnxxxyyy07, 10.119.3.207, 9, nnnxxxyyy09, 10.119.3.209, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 7, nnnxxxyyy07, 10.119.3.207, 9, nnnxxxyyy09, 10.119.3.209, R, MP, 8998, Communication between Router and Message Processor
internal, 7, nnnxxxyyy07, 10.119.3.207, 9, nnnxxxyyy09, 10.119.3.209, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 7, nnnxxxyyy07, 10.119.3.207, 9, nnnxxxyyy09, 10.119.3.209, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 7, nnnxxxyyy07, 10.119.3.207, 10, nnnxxxyyy10, 10.119.3.210, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 7, nnnxxxyyy07, 10.119.3.207, 10, nnnxxxyyy10, 10.119.3.210, R, MP, 8998, Communication between Router and Message Processor
internal, 7, nnnxxxyyy07, 10.119.3.207, 10, nnnxxxyyy10, 10.119.3.210, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 7, nnnxxxyyy07, 10.119.3.207, 10, nnnxxxyyy10, 10.119.3.210, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 7, nnnxxxyyy07, 10.119.3.207, 11, nnnxxxyyy11, 10.119.3.211, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 7, nnnxxxyyy07, 10.119.3.207, 11, nnnxxxyyy11, 10.119.3.211, R, MP, 8998, Communication between Router and Message Processor
internal, 7, nnnxxxyyy07, 10.119.3.207, 11, nnnxxxyyy11, 10.119.3.211, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 7, nnnxxxyyy07, 10.119.3.207, 11, nnnxxxyyy11, 10.119.3.211, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 7, nnnxxxyyy07, 10.119.3.207, 12, nnnxxxyyy12, 10.119.3.212, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 7, nnnxxxyyy07, 10.119.3.207, 12, nnnxxxyyy12, 10.119.3.212, R, MP, 8998, Communication between Router and Message Processor
internal, 7, nnnxxxyyy07, 10.119.3.207, 12, nnnxxxyyy12, 10.119.3.212, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 7, nnnxxxyyy07, 10.119.3.207, 12, nnnxxxyyy12, 10.119.3.212, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 8, nnnxxxyyy08, 10.119.3.208, 9, nnnxxxyyy09, 10.119.3.209, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 8, nnnxxxyyy08, 10.119.3.208, 9, nnnxxxyyy09, 10.119.3.209, R, MP, 8998, Communication between Router and Message Processor
internal, 8, nnnxxxyyy08, 10.119.3.208, 9, nnnxxxyyy09, 10.119.3.209, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 8, nnnxxxyyy08, 10.119.3.208, 9, nnnxxxyyy09, 10.119.3.209, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 8, nnnxxxyyy08, 10.119.3.208, 10, nnnxxxyyy10, 10.119.3.210, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 8, nnnxxxyyy08, 10.119.3.208, 10, nnnxxxyyy10, 10.119.3.210, R, MP, 8998, Communication between Router and Message Processor
internal, 8, nnnxxxyyy08, 10.119.3.208, 10, nnnxxxyyy10, 10.119.3.210, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 8, nnnxxxyyy08, 10.119.3.208, 10, nnnxxxyyy10, 10.119.3.210, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 8, nnnxxxyyy08, 10.119.3.208, 11, nnnxxxyyy11, 10.119.3.211, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 8, nnnxxxyyy08, 10.119.3.208, 11, nnnxxxyyy11, 10.119.3.211, R, MP, 8998, Communication between Router and Message Processor
internal, 8, nnnxxxyyy08, 10.119.3.208, 11, nnnxxxyyy11, 10.119.3.211, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 8, nnnxxxyyy08, 10.119.3.208, 11, nnnxxxyyy11, 10.119.3.211, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 8, nnnxxxyyy08, 10.119.3.208, 12, nnnxxxyyy12, 10.119.3.212, R, MP, 4528, Distributed cache calls between Message Processors, and for communication from the Router
internal, 8, nnnxxxyyy08, 10.119.3.208, 12, nnnxxxyyy12, 10.119.3.212, R, MP, 8998, Communication between Router and Message Processor
internal, 8, nnnxxxyyy08, 10.119.3.208, 12, nnnxxxyyy12, 10.119.3.212, R, MP, 8082, Issuing API requests directly to Message Processor
internal, 8, nnnxxxyyy08, 10.119.3.208, 12, nnnxxxyyy12, 10.119.3.212, R, MP, 4527, Distributed cache and calls from the Management Servers to the Router
internal, 7, nnnxxxyyy07, 10.119.3.207, 9, nnnxxxyyy09, 10.119.3.209, R, MS, 8080, Default Management API Calls
internal, 7, nnnxxxyyy07, 10.119.3.207, 9, nnnxxxyyy09, 10.119.3.209, R, MS, 8443, Default Management API Calls via TLS
internal, 8, nnnxxxyyy08, 10.119.3.208, 9, nnnxxxyyy09, 10.119.3.209, R, MS, 8080, Default Management API Calls
internal, 8, nnnxxxyyy08, 10.119.3.208, 9, nnnxxxyyy09, 10.119.3.209, R, MS, 8443, Default Management API Calls via TLS
internal, 7, nnnxxxyyy07, 10.119.3.207, 5, nnnxxxyyy05, 10.119.3.205, R, QD, 5672, Sending analytics from Router and Message Processor to Qpid
internal, 7, nnnxxxyyy07, 10.119.3.207, 6, nnnxxxyyy06, 10.119.3.206, R, QD, 5672, Sending analytics from Router and Message Processor to Qpid
internal, 8, nnnxxxyyy08, 10.119.3.208, 5, nnnxxxyyy05, 10.119.3.205, R, QD, 5672, Sending analytics from Router and Message Processor to Qpid
internal, 8, nnnxxxyyy08, 10.119.3.208, 6, nnnxxxyyy06, 10.119.3.206, R, QD, 5672, Sending analytics from Router and Message Processor to Qpid
internal, 11, nnnxxxyyy11, 10.119.3.211, 6, nnnxxxyyy06, 10.119.3.206, R, QD, 5672, Sending analytics from Router and Message Processor to Qpid
internal, 12, nnnxxxyyy12, 10.119.3.212, 6, nnnxxxyyy06, 10.119.3.206, R, QD, 5672, Sending analytics from Router and Message Processor to Qpid
internal, 7, nnnxxxyyy07, 10.119.3.207, 2, nnnxxxyyy02, 10.119.3.202, R, ZK, 2181, Zookeeper clients to connect to zk servers
