srcnode, srchostname, dstnode, dsthostname, clientcomponent, servercomponent, port
1, nnnxxxyyy01, 3, nnnxxxyyy03, R, MP, 4528
1, nnnxxxyyy01, 3, nnnxxxyyy03, R, MP, 8998
1, nnnxxxyyy01, 3, nnnxxxyyy03, R, MP, 8082
1, nnnxxxyyy01, 3, nnnxxxyyy03, R, MP, 4527
1, nnnxxxyyy01, 4, nnnxxxyyy04, R, MP, 4528
1, nnnxxxyyy01, 4, nnnxxxyyy04, R, MP, 8998
1, nnnxxxyyy01, 4, nnnxxxyyy04, R, MP, 8082
1, nnnxxxyyy01, 4, nnnxxxyyy04, R, MP, 4527
1, nnnxxxyyy01, 5, nnnxxxyyy05, R, MP, 4528
1, nnnxxxyyy01, 5, nnnxxxyyy05, R, MP, 8998
1, nnnxxxyyy01, 5, nnnxxxyyy05, R, MP, 8082
1, nnnxxxyyy01, 5, nnnxxxyyy05, R, MP, 4527
1, nnnxxxyyy01, 6, nnnxxxyyy06, R, MP, 4528
1, nnnxxxyyy01, 6, nnnxxxyyy06, R, MP, 8998
1, nnnxxxyyy01, 6, nnnxxxyyy06, R, MP, 8082
1, nnnxxxyyy01, 6, nnnxxxyyy06, R, MP, 4527
1, nnnxxxyyy01, 7, nnnxxxyyy07, R, MP, 4528
1, nnnxxxyyy01, 7, nnnxxxyyy07, R, MP, 8998
1, nnnxxxyyy01, 7, nnnxxxyyy07, R, MP, 8082
1, nnnxxxyyy01, 7, nnnxxxyyy07, R, MP, 4527
2, nnnxxxyyy02, 3, nnnxxxyyy03, R, MP, 4528
2, nnnxxxyyy02, 3, nnnxxxyyy03, R, MP, 8998
2, nnnxxxyyy02, 3, nnnxxxyyy03, R, MP, 8082
2, nnnxxxyyy02, 3, nnnxxxyyy03, R, MP, 4527
2, nnnxxxyyy02, 4, nnnxxxyyy04, R, MP, 4528
2, nnnxxxyyy02, 4, nnnxxxyyy04, R, MP, 8998
2, nnnxxxyyy02, 4, nnnxxxyyy04, R, MP, 8082
2, nnnxxxyyy02, 4, nnnxxxyyy04, R, MP, 4527
2, nnnxxxyyy02, 5, nnnxxxyyy05, R, MP, 4528
2, nnnxxxyyy02, 5, nnnxxxyyy05, R, MP, 8998
2, nnnxxxyyy02, 5, nnnxxxyyy05, R, MP, 8082
2, nnnxxxyyy02, 5, nnnxxxyyy05, R, MP, 4527
2, nnnxxxyyy02, 6, nnnxxxyyy06, R, MP, 4528
2, nnnxxxyyy02, 6, nnnxxxyyy06, R, MP, 8998
2, nnnxxxyyy02, 6, nnnxxxyyy06, R, MP, 8082
2, nnnxxxyyy02, 6, nnnxxxyyy06, R, MP, 4527
2, nnnxxxyyy02, 7, nnnxxxyyy07, R, MP, 4528
2, nnnxxxyyy02, 7, nnnxxxyyy07, R, MP, 8998
